,key ,Inputs from Database,Calculated Final Values,Calculated Intermediate Values,,,,,,Range Given:,,,Chart/Scatter Plot --- normalized values on x axis,y axis values,,                       Normalized Data Best-fit Line Parameters:,Slope Beta ,Y-Intercept Alpha,                                                                                    Transaction Fees:,30%,"Note: if ""optimal rent"" is less than this value, use this value",,,,,"Use MS ""If"" statement ",,,0.77146,
W110,L15264,apartment,2,1300,0.973,15178.8,462,0.537,175,917,742,287,0.4094339623,0.537,100,,,,,,175,927.5,82.25,-367.01175,337.9373562,337.9373562,0.2756736994,0.6324318343,213.722342,149.6056394
W111,L15264,house,1,1200,0.973,14011.2,389,0.5123,130,821,691,259,0.3998552822,0.5123,100,,,,,,130,863.75,43.625,-341.785875,304.3845385,304.3845385,0.3018923746,0.6116823748,186.1866574,130.3306602
W112,L15264,house,2,1600,0.973,18681.6,678,0.3616,241,866,625,437,0.65936,0.3616,100,,,,,,241,781.25,162.875,-309.140625,313.9604587,313.9604587,0.1933893872,0.697551639,219.0036326,153.3025428
W113,L15278,apartment,1,800,0.973,9340.8,163,0.8438,134,288,154,29,0.2506493506,0.8438,100,,,,,,134,192.5,114.75,-76.17225,100.7268793,134,0.1,0.77146,103.37564,72.362948
W114,L15278,apartment,2,1200,0.973,14011.2,374,0.9151,234,794,560,140,0.3,0.9151,100,,,,,,234,700,164,-276.99,286.9654387,286.9654387,0.1756649125,0.7115787883,204.1985192,142.9389634
W115,L15278,house,1,900,0.973,10508.4,444,0.4301,252,547,295,192,0.6206779661,0.4301,100,,,,,,252,368.75,215.125,-145.914375,191.4826627,252,0.1,0.77146,194.40792,136.085544
W116,L15278,house,2,1100,0.973,12843.6,426,0.4822,246,616,370,180,0.4891891892,0.4822,100,,,,,,246,462.5,199.75,-183.01125,218.222476,246,0.1,0.77146,189.77916,132.845412
W117,L15280,apartment,1,1000,0.973,11676,332,0.4904,171,457,286,161,0.5503496503,0.4904,100,,,,,,171,357.5,135.25,-141.46275,162.6826967,171,0.1,0.77146,131.91966,92.343762
W118,L15280,apartment,2,1400,0.973,16346.4,430,0.5233,262,567,305,168,0.5406557377,0.5233,100,,,,,,262,381.25,223.875,-150.860625,198.4300665,262,0.1,0.77146,202.12252,141.485764
W119,L15280,house,1,1500,0.973,17514,662,0.4493,229,859,630,433,0.6498412698,0.4493,100,,,,,,229,787.5,150.25,-311.61375,312.110492,312.110492,0.2055371327,0.6879379132,214.7126405,150.2988484
W12,L9533,house,2,1300,0.973,15178.8,186,0.6603,136,336,200,50,0.3,0.6603,100,,,,,,136,250,111,-98.925,118.9060298,136,0.1,0.77146,104.91856,73.442992
W120,L15280,house,2,1600,0.973,18681.6,696,0.4877,449,899,450,247,0.5391111111,0.4877,100,,,,,,449,562.5,392.75,-222.58125,312.3200151,449,0.1,0.77146,346.38554,242.469878
W121,L463,apartment,1,600,0.973,7005.6,182,0.4384,132,226,94,50,0.5255319149,0.4384,100,,,,,,132,117.5,120.25,-46.49475,77.2055612,132,0.1,0.77146,101.83272,71.282904
W122,L463,apartment,2,800,0.973,9340.8,241,0.5315,157,340,183,84,0.4672131148,0.5315,100,,,,,,157,228.75,134.125,-90.516375,118.9954085,157,0.1,0.77146,121.11922,84.783454
W123,L463,house,1,700,0.973,8173.2,363,0.1397,215,377,162,148,0.8308641975,0.1397,100,,,,,,215,202.5,194.75,-80.12925,129.1452619,215,0.1,0.77146,165.8639,116.10473
W124,L463,house,2,1000,0.973,11676,301,0.4685,202,374,172,99,0.5604651163,0.4685,100,,,,,,202,215,180.5,-85.0755,128.8900552,202,0.1,0.77146,155.83492,109.084444
W125,L464,apartment,1,700,0.973,8173.2,212,0.5014,94,356,262,118,0.4603053435,0.5014,100,,,,,,94,327.5,61.25,-129.59175,129.4116076,129.4116076,0.208127046,0.6858882558,88.7619018,62.13333126
W126,L464,apartment,2,900,0.973,10508.4,340,0.3068,69,485,416,271,0.6211538462,0.3068,100,,,,,,69,520,17,-205.764,180.3465271,180.3465271,0.3141279367,0.6019991509,108.5684562,75.99791931
W127,L464,house,1,1000,0.973,11676,266,0.5205,84,376,292,182,0.598630137,0.5205,100,,,,,,84,365,47.5,-144.4305,137.7275399,137.7275399,0.2471987393,0.6549669177,90.20698226,63.14488758
W128,L464,house,2,1200,0.973,14011.2,442,0.1288,109,490,381,333,0.7992125984,0.1288,100,,,,,,109,476.25,61.375,-188.452125,179.5173872,179.5173872,0.2480680046,0.6542789812,117.4544532,82.21811723
W129,L2314,apartment,1,1200,0.973,14011.2,354,0.2411,145,434,289,209,0.6785467128,0.2411,100,,,,,,145,361.25,108.875,-142.946625,155.6853654,155.6853654,0.1295788662,0.7480512853,116.4606377,81.52244639
W13,L9534,apartment,2,920,0.973,10741.92,123,0.4521,111,147,36,12,0.3666666667,0.4521,100,,,,,,111,45,106.5,-17.8065,48.49742727,111,0.1,0.77146,85.63206,59.942442
W130,L2314,apartment,2,1300,0.973,15178.8,377,0.4795,228,457,229,149,0.6205240175,0.4795,100,,,,,,228,286.25,199.375,-113.269125,158.7823906,228,0.1,0.77146,175.89288,123.125016
W131,L2314,house,1,1100,0.973,12843.6,318,0.2712,90,375,285,228,0.74,0.2712,100,,,,,,90,356.25,54.375,-140.968125,136.9353979,136.9353979,0.2317484854,0.6671942487,91.36250993,63.95375695
W132,L2314,house,2,1200,0.973,14011.2,198,0.4301,128,238,110,70,0.6090909091,0.4301,100,,,,,,128,137.5,114.25,-54.40875,82.05826772,128,0.1,0.77146,98.74688,69.122816
W133,L2318,apartment,1,1300,0.973,15178.8,149,0.5671,126,188,62,23,0.3967741935,0.5671,100,,,,,,126,77.5,118.25,-30.66675,63.11595044,126,0.1,0.77146,97.20396,68.042772
W134,L2318,apartment,2,1700,0.973,19849.2,210,0.3205,152,247,95,58,0.5884210526,0.3205,100,,,,,,152,118.75,140.125,-46.989375,83.8502842,152,0.1,0.77146,117.26192,82.083344
W135,L2318,house,1,1200,0.973,14011.2,187,0.4493,141,263,122,46,0.4016393443,0.4493,100,,,,,,141,152.5,125.75,-60.34425,90.70830929,141,0.1,0.77146,108.77586,76.143102
W136,L2318,house,2,1900,0.973,22184.4,225,0.5096,157,314,157,68,0.4464968153,0.5096,100,,,,,,157,196.25,137.375,-77.656125,109.0742401,157,0.1,0.77146,121.11922,84.783454
W137,L2323,apartment,1,1000,0.973,11676,123,0.7205,93,159,66,30,0.4636363636,0.7205,100,,,,,,93,82.5,84.75,-32.64525,54.30810371,93,0.1,0.77146,71.74578,50.222046
W138,L2323,apartment,2,1500,0.973,17514,263,0.4959,145,462,317,118,0.3977917981,0.4959,100,,,,,,145,396.25,105.375,-156.796125,166.3697007,166.3697007,0.153929844,0.7287799214,121.2468974,84.87282818
W139,L2323,house,1,1300,0.973,15178.8,238,0.4493,181,316,135,57,0.4377777778,0.4493,100,,,,,,181,168.75,164.125,-66.774375,108.1951727,181,0.1,0.77146,139.63426,97.743982
W14,L9534,house,1,850,0.973,9924.6,146,0.5315,96,245,149,50,0.3684563758,0.5315,100,,,,,,96,186.25,77.375,-73.699125,86.91899705,96,0.1,0.77146,74.06016,51.842112
W140,L2323,house,2,1800,0.973,21016.8,349,0.1507,145,412,267,204,0.7112359551,0.1507,100,,,,,,145,333.75,111.625,-132.064875,147.2905306,147.2905306,0.1068630129,0.7660286116,112.8287606,78.98013244
W141,L2325,apartment,1,1100,0.973,12843.6,147,0.6,99,215,116,48,0.4310344828,0.6,100,,,,,,99,145,84.5,-57.3765,75.26621571,99,0.1,0.77146,76.37454,53.462178
W142,L2325,apartment,2,1400,0.973,16346.4,151,0.526,120,188,68,31,0.4647058824,0.526,100,,,,,,120,85,111.5,-33.6345,63.52650897,120,0.1,0.77146,92.5752,64.80264
W143,L2325,house,1,1300,0.973,15178.8,429,0.211,263,489,226,166,0.6876106195,0.211,100,,,,,,263,282.5,234.75,-111.78525,168.5981347,263,0.1,0.77146,202.89398,142.025786
W144,L2325,house,2,1900,0.973,22184.4,441,0.3315,335,502,167,106,0.6077844311,0.3315,100,,,,,,335,208.75,314.125,-82.602375,168.6320165,335,0.1,0.77146,258.4391,180.90737
W145,L2338,apartment,1,900,0.973,10508.4,144,0.3288,98,195,97,46,0.4793814433,0.3288,100,,,,,,98,121.25,85.875,-47.978625,67.70297408,98,0.1,0.77146,75.60308,52.922156
W146,L2338,apartment,2,1400,0.973,16346.4,136,0.6192,77,260,183,59,0.3579234973,0.6192,100,,,,,,77,228.75,54.125,-90.516375,93.94285012,93.94285012,0.1740671043,0.7128432936,66.96653069,46.87657148
W147,L2338,house,1,1400,0.973,16346.4,305,0.2712,173,322,149,132,0.8087248322,0.2712,100,,,,,,173,186.25,154.375,-73.699125,111.0320845,173,0.1,0.77146,133.46258,93.423806
W148,L2338,house,2,1700,0.973,19849.2,425,0.3288,176,469,293,249,0.7798634812,0.3288,100,,,,,,176,366.25,139.375,-144.925125,166.9195654,176,0.1,0.77146,135.77696,95.043872
W149,L3244,apartment,1,800,0.973,9340.8,176,0.4137,86,224,138,90,0.6217391304,0.4137,100,,,,,,86,172.5,68.75,-68.25825,79.59000983,86,0.1,0.77146,66.34556,46.441892
W15,L9534,house,2,900,0.973,10508.4,169,0.4795,111,276,165,58,0.3812121212,0.4795,100,,,,,,111,206.25,90.375,-81.613125,97.72168619,111,0.1,0.77146,85.63206,59.942442
W150,L3244,apartment,2,1300,0.973,15178.8,207,0.6301,127,276,149,80,0.5295302013,0.6301,100,,,,,,127,186.25,108.375,-73.699125,96.62686343,127,0.1,0.77146,97.97542,68.582794
W151,L3244,house,1,1400,0.973,16346.4,244,0.9041,222,381,159,22,0.2106918239,0.9041,100,,,,,,222,198.75,202.125,-78.645375,130.1926106,222,0.1,0.77146,171.26412,119.884884
W152,L3244,house,2,1900,0.973,22184.4,536,0.5425,386,773,387,150,0.4100775194,0.5425,100,,,,,,386,483.75,337.625,-191.419875,268.551371,386,0.1,0.77146,297.78356,208.448492
W153,L3256,apartment,1,1700,0.973,19849.2,476,0.0795,136,476,340,340,0.9,0.0795,100,,,,,,136,425,93.5,-168.1725,172.3277061,172.3277061,0.1854769556,0.7038135373,121.2865724,84.9006007
W154,L3256,apartment,2,2400,0.973,28022.4,360,0.5507,173,690,517,187,0.3893617021,0.5507,100,,,,,,173,646.25,108.375,-255.721125,251.4547766,251.4547766,0.2214000412,0.6753840074,169.8285347,118.8799743
W155,L3256,house,1,2100,0.973,24519.6,1477,0.6932,448,2128,1680,1029,0.59,0.6932,100,,,,,,448,2100,238,-830.97,781.3544432,781.3544432,0.2587402111,0.645832997,504.6244818,353.2371372
W156,L3256,house,2,3200,0.973,37363.2,1265,0.7151,450,2699,2249,815,0.3899066252,0.7151,100,,,,,,450,2811.25,168.875,-1112.411625,999.1017132,999.1017132,0.2953229749,0.6168813977,616.3272613,431.4290829
W157,L3261,apartment,1,1300,0.973,15178.8,328,0.5205,291,387,96,37,0.4083333333,0.5205,100,,,,,,291,120,279,-47.484,127.7606878,291,0.1,0.77146,224.49486,157.146402
W158,L3261,apartment,2,1700,0.973,19849.2,246,0.1589,203,318,115,43,0.3991304348,0.1589,100,,,,,,203,143.75,188.625,-56.881875,107.4529582,203,0.1,0.77146,156.60638,109.624466
W159,L3261,house,1,1400,0.973,16346.4,325,0.5452,287,395,108,38,0.3814814815,0.5452,100,,,,,,287,135,273.5,-53.4195,131.0870607,287,0.1,0.77146,221.40902,154.986314
W16,L9534,apartment,1,750,0.973,8757,94,0.4795,51,179,128,43,0.36875,0.4795,100,,,,,,51,160,35,-63.312,64.8136815,64.8136815,0.1863355094,0.7031340779,45.57270818,31.90089572
W160,L3261,house,2,1900,0.973,22184.4,428,0.5863,376,502,126,52,0.4301587302,0.5863,100,,,,,,376,157.5,360.25,-62.32275,165.8265332,376,0.1,0.77146,290.06896,203.048272
W161,L3262,apartment,1,1600,0.973,18681.6,188,0.6795,126,352,226,62,0.3194690265,0.6795,100,,,,,,126,282.5,97.75,-111.78525,125.6956284,126,0.1,0.77146,97.20396,68.042772
W162,L3262,apartment,2,2200,0.973,25687.2,274,0.5781,119,505,386,155,0.4212435233,0.5781,100,,,,,,119,482.5,70.75,-190.92525,184.556874,184.556874,0.2358691689,0.6639331397,122.5334248,85.77339736
W163,L3262,house,1,1500,0.973,17514,860,0.411,486,1215,729,374,0.5104252401,0.411,100,,,,,,486,911.25,394.875,-360.581625,430.3685927,486,0.1,0.77146,374.92956,262.450692
W164,L3262,house,2,2400,0.973,28022.4,729,0.6822,516,1650,1134,213,0.2502645503,0.6822,100,,,,,,516,1417.5,374.25,-560.90475,594.3045801,594.3045801,0.1552413264,0.7277420143,432.5004123,302.7502886
W165,L3264,apartment,1,1600,0.973,18681.6,174,0.8247,160,321,161,14,0.1695652174,0.8247,100,,,,,,160,201.25,139.875,-79.634625,111.5400446,160,0.1,0.77146,123.4336,86.40352
W166,L3264,apartment,2,1900,0.973,22184.4,308,0.2164,168,364,196,140,0.6714285714,0.2164,100,,,,,,168,245,143.5,-96.9465,127.4007195,168,0.1,0.77146,129.60528,90.723696
W167,L3264,house,1,1400,0.973,16346.4,308,0.6,226,368,142,82,0.561971831,0.6,100,,,,,,226,177.5,208.25,-70.23675,124.9583206,226,0.1,0.77146,174.34996,122.044972
W168,L3264,house,2,2000,0.973,23352,342,0.3918,285,428,143,57,0.4188811189,0.3918,100,,,,,,285,178.75,267.125,-70.731375,143.8161659,285,0.1,0.77146,219.8661,153.90627
W169,L10126,apartment,1,1000,0.973,11676,229,0.589,91,342,251,138,0.5398406375,0.589,100,,,,,,91,313.75,59.625,-124.150875,124.2747192,124.2747192,0.2060548819,0.6875281664,85.44236983,59.80965888
W17,L4761,apartment,2,2500,0.973,29190,392,0.2932,173,581,408,219,0.5294117647,0.2932,100,,,,,,173,510,122,-201.807,209.8621858,209.8621858,0.1722787956,0.7142585612,149.8958628,104.927104
W170,L10126,apartment,2,1400,0.973,16346.4,322,0.2712,168,392,224,154,0.65,0.2712,100,,,,,,168,280,140,-110.796,138.0850548,168,0.1,0.77146,129.60528,90.723696
W171,L10126,house,1,1300,0.973,15178.8,257,0.5507,155,494,339,102,0.3407079646,0.5507,100,,,,,,155,423.75,112.625,-167.677875,177.8961053,177.8961053,0.154032107,0.7286989905,129.6327124,90.74289867
W172,L10126,house,2,1800,0.973,21016.8,286,0.4521,151,391,240,135,0.55,0.4521,100,,,,,,151,300,121,-118.71,138.8667206,151,0.1,0.77146,116.49046,81.543322
W173,L10130,apartment,1,700,0.973,8173.2,180,0.5178,99,265,166,81,0.4903614458,0.5178,100,,,,,,99,207.5,78.25,-82.10775,94.34538584,99,0.1,0.77146,76.37454,53.462178
W174,L10130,apartment,2,900,0.973,10508.4,230,0.5205,154,286,132,76,0.5606060606,0.5205,100,,,,,,154,165,137.5,-65.2905,98.59518405,154,0.1,0.77146,118.80484,83.163388
W175,L10130,house,1,1000,0.973,11676,221,0.6301,190,462,272,31,0.1911764706,0.6301,100,,,,,,190,340,156,-134.538,163.2905117,190,0.1,0.77146,146.5774,102.60418
W176,L10130,house,2,1200,0.973,14011.2,316,0.3699,205,411,206,111,0.5310679612,0.3699,100,,,,,,205,257.5,179.25,-101.89275,142.8033618,205,0.1,0.77146,158.1493,110.70451
W177,L10133,apartment,1,700,0.973,8173.2,245,0.5699,192,313,121,53,0.4504132231,0.5699,100,,,,,,192,151.25,176.875,-59.849625,106.2977319,192,0.1,0.77146,148.12032,103.684224
W178,L10133,apartment,2,1000,0.973,11676,266,0.4192,192,357,165,74,0.4587878788,0.4192,100,,,,,,192,206.25,171.375,-81.613125,123.0874016,192,0.1,0.77146,148.12032,103.684224
W179,L10133,house,1,800,0.973,9340.8,325,0.4548,186,465,279,139,0.4985663082,0.4548,100,,,,,,186,348.75,151.125,-138.000375,164.7089676,186,0.1,0.77146,143.49156,100.444092
W18,L4761,house,1,2500,0.973,29190,393,0.6219,189,588,399,204,0.5090225564,0.6219,100,,,,,,189,498.75,139.125,-197.355375,211.4384468,211.4384468,0.1449893671,0.7358554149,155.588126,108.9116882
W180,L10133,house,2,900,0.973,10508.4,256,0.7096,209,358,149,47,0.3523489933,0.7096,100,,,,,,209,186.25,190.375,-73.699125,122.3057358,209,0.1,0.77146,161.23514,112.864598
W181,L10136,apartment,1,700,0.973,8173.2,184,0.3096,42,252,210,142,0.640952381,0.3096,100,,,,,,42,262.5,15.75,-103.87125,93.28510769,93.28510769,0.2953718388,0.6168427268,57.54224019,40.27956813
W182,L10136,apartment,2,1000,0.973,11676,427,0.2411,94,531,437,333,0.709610984,0.2411,100,,,,,,94,546.25,39.375,-216.151125,196.188703,196.188703,0.2870731405,0.6234103166,122.3060615,85.61424302
W183,L10136,house,1,900,0.973,10508.4,418,0.0466,86,488,402,332,0.7606965174,0.0466,100,,,,,,86,502.5,35.75,-198.83925,180.3280281,180.3280281,0.2877174688,0.6229003952,112.3264,78.62847997
W184,L10136,house,2,1200,0.973,14011.2,219,0.6356,83,556,473,136,0.3300211416,0.6356,100,,,,,,83,591.25,23.875,-233.957625,206.4809787,206.4809787,0.3088473213,0.6061782299,125.1642742,87.61499194
W185,L1882,apartment,1,1100,0.973,12843.6,220,0.4301,84,301,217,136,0.6013824885,0.4301,100,,,,,,84,271.25,56.875,-107.333625,109.1087847,109.1087847,0.1925669481,0.6982025173,76.18002811,53.32601968
W186,L1882,apartment,2,1400,0.973,16346.4,481,0.3808,134,568,434,347,0.7396313364,0.3808,100,,,,,,134,542.5,79.75,-214.66725,207.570232,207.570232,0.2356133309,0.6641356099,137.8547826,96.49834785
W187,L1882,house,1,1300,0.973,15178.8,280,0.4575,109,615,506,171,0.3703557312,0.4575,100,,,,,,109,632.5,45.75,-250.28025,227.2153125,227.2153125,0.2869016798,0.6235460106,141.6792016,99.17544115
W19,L4761,house,2,2800,0.973,32692.8,556,0.2986,191,826,635,365,0.5598425197,0.2986,100,,,,,,191,793.75,111.625,-314.086875,302.1184438,302.1184438,0.2399917402,0.6606705368,199.6007544,139.7205281
W191,L1883,house,1,1300,0.973,15178.8,318,0.3918,157,471,314,161,0.5101910828,0.3918,100,,,,,,157,392.5,117.75,-155.31225,168.9828342,168.9828342,0.130529514,0.7472989426,126.2806934,88.39648535
W192,L1883,house,2,1600,0.973,18681.6,680,0.3863,253,886,633,427,0.6396524487,0.3863,100,,,,,,253,791.25,173.875,-313.097625,320.7710097,320.7710097,0.1856505652,0.7036761427,225.7189068,158.0032348
W193,L1887,apartment,1,1400,0.973,16346.4,202,0.4877,76,342,266,126,0.4789473684,0.4877,100,,,,,,76,332.5,42.75,-131.57025,125.3011155,125.3011155,0.2482740317,0.6541159313,81.96145589,57.37301912
W194,L1887,apartment,2,2000,0.973,23352,579,0.411,107,781,674,472,0.6602373887,0.411,100,,,,,,107,842.5,22.75,-333.37725,290.6950101,290.6950101,0.3180356204,0.5989066101,174.0991631,121.8694142
W195,L1887,house,1,1700,0.973,19849.2,524,0.5041,162,614,452,362,0.7407079646,0.5041,100,,,,,,162,565,105.5,-223.5705,223.2071287,223.2071287,0.2083312012,0.6857266874,153.059085,107.1413595
W196,L1887,house,2,2500,0.973,29190,560,0.2767,158,906,748,402,0.5299465241,0.2767,100,,,,,,158,935,64.5,-369.9795,334.9031879,334.9031879,0.2892012705,0.6217261145,208.2180578,145.7526404
W197,L1902,apartment,1,1800,0.973,21016.8,362,0.3288,199,432,233,163,0.6596566524,0.3288,100,,,,,,199,291.25,169.875,-115.247625,151.2271718,199,0.1,0.77146,153.52054,107.464378
W198,L1902,apartment,2,2600,0.973,30357.6,417,0.5315,366,594,228,51,0.2789473684,0.5315,100,,,,,,366,285,337.5,-112.7745,201.6164705,366,0.1,0.77146,282.35436,197.648052
W199,L1902,house,1,2500,0.973,29190,474,0.4274,333,665,332,141,0.4397590361,0.4274,100,,,,,,333,415,291.5,-164.2155,230.966964,333,0.1,0.77146,256.89618,179.827326
W2,L9531,house,1,1500,0.973,17514,146,0.2411,81,205,124,65,0.5193548387,0.2411,100,,,,,,81,155,65.5,-61.3335,72.68205729,81,0.1,0.77146,62.48826,43.741782
W20,L4761,apartment,1,1700,0.973,19849.2,312,0.411,106,465,359,206,0.5590529248,0.411,100,,,,,,106,448.75,61.125,-177.570375,170.1830814,170.1830814,0.2430263652,0.6582689346,112.0262357,78.41836496
W200,L1902,house,2,3600,0.973,42033.6,491,0.3973,336,624,288,155,0.5305555556,0.3973,100,,,,,,336,360,300,-142.452,215.1167652,336,0.1,0.77146,259.21056,181.447392
W201,L1916,apartment,1,1200,0.973,14011.2,204,0.7973,173,395,222,31,0.2117117117,0.7973,100,,,,,,173,277.5,145.25,-109.80675,138.8876729,173,0.1,0.77146,133.46258,93.423806
W202,L1916,apartment,2,1600,0.973,18681.6,245,0.6877,228,456,228,17,0.1596491228,0.6877,100,,,,,,228,285,199.5,-112.7745,158.4008072,228,0.1,0.77146,175.89288,123.125016
W203,L1916,house,1,1000,0.973,11676,197,0.589,155,252,97,42,0.4463917526,0.589,100,,,,,,155,121.25,142.875,-47.978625,85.55292194,155,0.1,0.77146,119.5763,83.70341
W204,L1916,house,2,1500,0.973,17514,195,0.6192,158,236,78,37,0.4794871795,0.6192,100,,,,,,158,97.5,148.25,-38.58075,79.24230824,158,0.1,0.77146,121.89068,85.323476
W205,L12252,apartment,1,750,0.973,8757,124,0.4548,89,155,66,35,0.5242424242,0.4548,100,,,,,,89,82.5,80.75,-32.64525,53.05547579,89,0.1,0.77146,68.65994,48.061958
W206,L12252,apartment,2,1040,0.973,12143.04,156,0.4877,115,179,64,41,0.6125,0.4877,100,,,,,,115,80,107,-31.656,60.43439046,115,0.1,0.77146,88.7179,62.10253
W207,L12252,house,1,900,0.973,10508.4,256,0.4795,152,300,148,104,0.6621621622,0.4795,100,,,,,,152,185,133.5,-73.2045,104.0742045,152,0.1,0.77146,117.26192,82.083344
W208,L12252,house,2,1400,0.973,16346.4,284,0.4932,175,368,193,109,0.5518134715,0.4932,100,,,,,,175,241.25,150.875,-95.462625,128.4480682,175,0.1,0.77146,135.0055,94.50385
W209,L12260,apartment,1,825,0.973,9632.7,128,0.3616,77,161,84,51,0.5857142857,0.3616,100,,,,,,77,105,66.5,-41.5485,56.16609327,77,0.1,0.77146,59.40242,41.581694
W21,L4765,apartment,2,2700,0.973,31525.2,337,0.4219,157,526,369,180,0.4902439024,0.4219,100,,,,,,157,461.25,110.875,-182.516625,189.9699214,189.9699214,0.1714795044,0.7148911203,135.8078099,95.06546694
W210,L12260,apartment,2,1300,0.973,15178.8,139,0.7425,125,170,45,14,0.3488888889,0.7425,100,,,,,,125,56.25,119.375,-22.258125,56.31587561,125,0.1,0.77146,96.4325,67.50275
